,price,year,km,title,location
371,234999,2017,50814, Seat Leon 5p Fr L4/1.4/t Man ,Distrito Federal
372,262999,2017,39407, Mazda Mazda 3 4p Sedán I Touring L4/2.0 Aut ,Distrito Federal
373,249999,2015,50541, Jeep Cherokee 5p Latitud 4x2 L4/2.4 Aut ,Distrito Federal
374,267999,2016,48116, Audi A1 5p S Line 1.8 Tfsi S Tronic Sb ,Distrito Federal
375,247999,2015,72673, Nissan X-trail 5p Advance 2 L4/2.5 Aut ,Distrito Federal
376,124999,2017,52133, Chevrolet Spark 5p Lt Classic Cargo L4/1.2 Man ,Distrito Federal
377,289999,2017,69279, Volvo V40 5p Addition T3 L4/1.6/t Man ,Distrito Federal
378,202999,2014,38765, Mazda Mazda 3 4p Sedán S Grand Touring L4/2.5 Aut ,Distrito Federal
379,209999,2015,30578, Mazda Mazda 6 4p I Grand Touring Plus L4/2.5 Aut ,Distrito Federal
380,124999,2017,59947, Hyundai Grand I10 5p Gl L4/1.2 Man ,Distrito Federal
381,194999,2014,37390, Toyota Corolla 4p S L4/1.8 Man ,Distrito Federal
382,397999,2015,80526, Jeep Grand Cherokee 5p Limited Lujo 4x2 V6/3.6 Aut ,Distrito Federal
383,199999,2015,92155, Mazda Mazda 3 5p Hatchback I Touring L4/2.0 Man ,Distrito Federal
384,324999,2016,71301, Toyota Sienna 5p Le V6/3.5 Aut ,Distrito Federal
385,237999,2016,37004, Honda Hr-v 5p Uniq L4/1.8 Man ,Distrito Federal
386,182999,2013,61203, Volvo S60 4p Addition 5vel ,Distrito Federal
387,242999,2015,72332, Bmw Serie 1 3p 118i Urban Line L4/1.6/t Aut ,Distrito Federal
388,167999,2016,66806, Ford Fiesta 4p Se L4/1.6 Aut ,Distrito Federal
389,552999,2017,48844, Mercedes-benz Clase Glc 5p Glc 300 Sport Techo/p L4/2.0/t Aut ,Distrito Federal
390,232999,2015,46402, Mazda Mazda 6 4p I Grand Touring Plus L4/2.5 Aut ,Distrito Federal
391,207999,2019,22573, Chevrolet Cavalier 4p Ls L4/1.5 Aut ,Distrito Federal
392,412999,2016,71663, Ford Explorer 5p Limited V6/3.5 Aut ,Distrito Federal
393,267999,2016,87584, Mazda Cx-5 5p Grand Touring I L4/2.0 Aut ,Distrito Federal
394,94999,2013,75200, Chevrolet Aveo 4p Ls 5vel A/a ,Distrito Federal
395,184999,2012,79663, Mazda Cx-7 5p Grand Touring Aut Piel Q/c ,Distrito Federal
396,212999,2015,62113, Hyundai Ix35 4p Gls Nu 2.0 Mpi 6vel Aut. 2wd ,Distrito Federal
397,377999,2017,28015, Bmw X1 5p Sdrive 18i X Line L4/2.0/t Aut ,Distrito Federal
398,297999,2015,85329, Toyota Rav4 5p Ltd Platinum L4/2.5 Aut ,Distrito Federal
399,207999,2015,58497, Toyota Prius 5p Base Hibrido L4/1.8 Aut ,Distrito Federal
400,249999,2015,92177, Honda Accord 4p Exl Sedán V6/3.5 Aut ,Distrito Federal
401,429999,2017,43392, Audi A3 4p Sedan S Line L4/1.8/t Aut ,Distrito Federal
402,264999,2015,44109, Mini Cooper 5p Chili L3/1.5/t Aut ,Distrito Federal
403,174999,2016,85500, Volkswagen Vento 4p Highline L4/1.6 Aut ,Distrito Federal
404,227999,2015,45269, Audi A1 3p Ego L4/1.4/t Aut ,Distrito Federal
405,202999,2015,40764, Fiat 500 3p Turbo L4 1.4 T Man ,Distrito Federal
406,304999,2018,25650," Kia Soul 5 Pts. Ex Pack, 2.0l, 150 Hp, Ta6, A/ac, F. Led, Ra-18 ",Distrito Federal
407,147999,2014,54035, Toyota Yaris 4p Sedán Premium L4/1.5 Aut ,Distrito Federal
408,204999,2016,80000, Mazda Mazda 3 4p Sedán S L4/2.5 Man ,Distrito Federal
409,227999,2018,24817, Nissan Sentra 4p Advance L4/1.8 Aut ,Distrito Federal
410,164999,2015,64028, Fiat 500 3p Sport L4 1.4 Man ,Distrito Federal
411,257999,2016,48139, Jeep Cherokee 5p Latitud 4x2 L4/2.4 Aut ,Distrito Federal
412,172999,2015,89011, Suzuki S-cross 5p Gl L4/1.6 Aut ,Distrito Federal
413,132999,2014,75805, Peugeot 208 3p Allure L4/1.6 Man ,Distrito Federal
